Date,Price,Open,High,Low,Vol.,Change %
06/03/2024,"3,767.10","3,782.06","3,849.47","3,759.07",262.39K,-0.40%
06/02/2024,"3,782.08","3,815.95","3,838.34","3,753.62",219.62K,-0.89%
06/01/2024,"3,815.95","3,762.63","3,832.35","3,753.32",143.81K,1.42%
05/31/2024,"3,762.66","3,747.89","3,844.96","3,724.57",294.56K,0.40%
05/30/2024,"3,747.55","3,767.22","3,824.94","3,703.74",293.81K,-0.58%
05/29/2024,"3,769.57","3,845.56","3,886.44","3,745.72",353.25K,-1.98%
05/28/2024,"3,845.56","3,894.33","3,929.21","3,775.08",436.24K,-1.25%
05/27/2024,"3,894.33","3,825.99","3,976.00","3,824.33",393.85K,1.79%
05/26/2024,"3,826.02","3,749.28","3,881.62","3,733.77",313.07K,2.05%
05/25/2024,"3,749.28","3,728.32","3,776.75","3,709.70",170.39K,0.57%
05/24/2024,"3,728.21","3,785.61","3,829.13","3,635.18",514.00K,-1.52%
05/23/2024,"3,785.65","3,739.07","3,941.42","3,645.49",1.19M,1.25%
05/22/2024,"3,739.08","3,790.42","3,810.50","3,654.54",597.46K,-1.36%
05/21/2024,"3,790.46","3,661.04","3,833.07","3,630.71",1.01M,3.53%
05/20/2024,"3,661.07","3,072.07","3,679.47","3,048.33",899.51K,19.17%
05/19/2024,"3,072.08","3,122.87","3,135.99","3,058.31",170.99K,-1.63%
05/18/2024,"3,122.87","3,092.09","3,145.59","3,084.73",205.74K,0.97%
05/17/2024,"3,092.75","2,944.99","3,116.65","2,933.39",369.55K,5.02%
05/16/2024,"2,944.99","3,032.64","3,040.62","2,924.20",306.25K,-2.96%
05/15/2024,"3,034.71","2,881.99","3,041.11","2,864.50",363.90K,5.30%
05/14/2024,"2,881.99","2,951.01","2,958.94","2,866.00",279.49K,-2.34%
05/13/2024,"2,951.01","2,929.36","2,993.23","2,865.08",381.30K,0.74%
05/12/2024,"2,929.35","2,912.56","2,953.92","2,903.16",111.77K,0.58%
05/11/2024,"2,912.56","2,909.86","2,943.58","2,889.62",144.62K,0.09%
05/10/2024,"2,909.86","3,036.32","3,052.94","2,882.82",355.90K,-4.16%
05/09/2024,"3,036.32","2,974.92","3,057.07","2,953.21",248.78K,2.06%
